state,district,year,moth_kharif_yield_tonne_per_hectare
Gujarat,Ahmadabad,2000 - 2001,0.11
,,2001 - 2002,0.38
,,2002 - 2003,0.71
,,2003 - 2004,0.5
,,2005 - 2006,0.6
,,2006 - 2007,0.2
,,2007 - 2008,0.57
,,2008 - 2009,0.24
,,2009 - 2010,0.3
,,2010 - 2011,0.61
,,2011 - 2012,0.63
,,2012 - 2013,0.53
,,2013 - 2014,0.67
,,2014 - 2015,0.74
,,2015 - 2016,0.94
,,2016 - 2017,0.41
,,2017 - 2018,0.73
,,2018 - 2019,0.18
,,2019 - 2020,0.44
,,2020 - 2021,0.6
,,2021 - 2022,0.44
,,2022 - 2023,0.48
,Amreli,2000 - 2001,0.0
,,2001 - 2002,0.33
,,2002 - 2003,0.67
,,2003 - 2004,0.5
,,2004 - 2005,0.4
,,2005 - 2006,0.54
,,2006 - 2007,0.33
,,2007 - 2008,0.67
,,2008 - 2009,1.0
,,2013 - 2014,0.48
,,2014 - 2015,0.43
,,2015 - 2016,0.48
,,2016 - 2017,0.47
,,2017 - 2018,0.65
,,2018 - 2019,0.08
,,2019 - 2020,0.46
,,2020 - 2021,0.5
,,2021 - 2022,0.44
,,2022 - 2023,0.5
,Anand,2003 - 2004,0.0
,,2007 - 2008,1.0
,,2009 - 2010,1.0
,,2012 - 2013,1.0
,,2014 - 2015,0.5
,,2017 - 2018,1.0
,Aravalli,2016 - 2017,0.43
,,2018 - 2019,0.07
,,2019 - 2020,0.46
,Banas kantha,2000 - 2001,0.14
,,2001 - 2002,0.47
,,2002 - 2003,0.18
,,2003 - 2004,0.63
,,2004 - 2005,0.37
,,2005 - 2006,0.53
,,2006 - 2007,0.18
,,2007 - 2008,0.73
,,2008 - 2009,0.17
,,2009 - 2010,0.15
,,2010 - 2011,0.63
,,2011 - 2012,0.62
,,2012 - 2013,0.36
,,2013 - 2014,0.77
,,2014 - 2015,0.82
,,2016 - 2017,0.46
,,2017 - 2018,0.65
,,2018 - 2019,0.08
,,2019 - 2020,0.46
,,2020 - 2021,0.52
,Bharuch,2000 - 2001,0.0
,,2001 - 2002,0.25
,,2002 - 2003,0.67
,,2003 - 2004,0.67
,,2004 - 2005,0.4
,,2005 - 2006,0.45
,,2006 - 2007,0.2
,,2007 - 2008,0.56
,,2008 - 2009,0.14
,,2009 - 2010,0.25
,,2010 - 2011,0.6
,,2011 - 2012,0.5
,,2012 - 2013,0.33
,,2013 - 2014,0.48
,,2014 - 2015,0.43
,,2015 - 2016,0.48
,,2016 - 2017,0.47
,,2017 - 2018,0.65
,,2018 - 2019,0.08
,,2020 - 2021,0.53
,Bhavnagar,2000 - 2001,0.1
,,2001 - 2002,0.36
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.4
,,2005 - 2006,0.67
,,2006 - 2007,0.25
,,2007 - 2008,0.5
,,2008 - 2009,0.25
