state,district,year,rapeseed_and_mustard_rabi_yield_tonne_per_hectare
Andaman and Nicobar Islands,North and middle andaman,2011 - 2012,0.26
,,2012 - 2013,0.27
,,2013 - 2014,0.71
,,2014 - 2015,0.53
,,2015 - 2016,0.16
,,2016 - 2017,0.11
,,2017 - 2018,2.36
,,2018 - 2019,4.0
,,2020 - 2021,0.2
,,2021 - 2022,0.24
,,2022 - 2023,0.92
,South andamans,2011 - 2012,0.23
,,2014 - 2015,1.5
,,2015 - 2016,0.88
,,2016 - 2017,0.76
Andhra Pradesh,Anantapur,2009 - 2010,0.0
,,2021 - 2022,1.0
,,2022 - 2023,
,Bapatla,2022 - 2023,0.75
,Chittoor,2000 - 2001,0.5
,,2010 - 2011,2.44
,,2020 - 2021,
,Eluru,2022 - 2023,0.33
,Guntur,2000 - 2001,0.07
,,2001 - 2002,0.26
,,2002 - 2003,0.09
,,2003 - 2004,0.25
,,2004 - 2005,0.07
,,2005 - 2006,0.07
,,2006 - 2007,0.06
,,2008 - 2009,0.02
,,2009 - 2010,0.03
,,2010 - 2011,2.42
,,2011 - 2012,2.36
,,2012 - 2013,0.48
,,2013 - 2014,0.67
,,2014 - 2015,0.02
,,2015 - 2016,0.03
,,2016 - 2017,0.41
,,2017 - 2018,0.46
,,2018 - 2019,0.05
,,2019 - 2020,0.03
,,2020 - 2021,0.04
,Kadapa,2009 - 2010,0.5
,,2012 - 2013,0.5
,,2016 - 2017,
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Krishna,2000 - 2001,0.07
,,2001 - 2002,0.26
,,2002 - 2003,0.09
,,2003 - 2004,0.25
,,2004 - 2005,0.07
,,2005 - 2006,0.07
,,2006 - 2007,0.0
,,2008 - 2009,0.0
,,2010 - 2011,2.42
,,2011 - 2012,2.45
,,2012 - 2013,0.23
,,2013 - 2014,0.32
,,2014 - 2015,0.32
,,2015 - 2016,0.32
,,2016 - 2017,0.38
,,2017 - 2018,0.22
,,2018 - 2019,0.26
,,2019 - 2020,0.38
,,2020 - 2021,0.24
,,2021 - 2022,0.18
,,2022 - 2023,0.7
,Kurnool,2000 - 2001,0.35
,,2001 - 2002,0.4
,,2002 - 2003,0.48
,,2003 - 2004,0.33
,,2004 - 2005,0.48
,,2005 - 2006,0.55
,,2006 - 2007,0.59
,,2008 - 2009,0.66
,,2009 - 2010,0.74
,,2010 - 2011,2.56
,,2011 - 2012,2.46
,,2012 - 2013,0.6
,,2013 - 2014,0.72
,,2014 - 2015,0.65
,,2015 - 2016,0.7
,,2016 - 2017,0.42
,,2017 - 2018,0.53
,,2018 - 2019,0.36
,,2019 - 2020,0.51
,,2020 - 2021,0.7
,,2021 - 2022,0.65
,Nandyal,2022 - 2023,0.74
,Prakasam,2000 - 2001,0.0
,,2001 - 2002,0.27
,,2002 - 2003,0.09
,,2003 - 2004,0.33
,,2004 - 2005,0.1
,,2006 - 2007,0.0
,,2009 - 2010,0.0
,,2010 - 2011,2.43
,,2011 - 2012,2.4
,,2014 - 2015,0.6
,,2015 - 2016,0.54
,,2016 - 2017,0.05
,,2017 - 2018,0.4
,,2018 - 2019,0.33
,,2019 - 2020,0.4
,,2020 - 2021,0.67
,,2021 - 2022,0.6
,,2022 - 2023,1.0
,Spsr nellore,2014 - 2015,0.5
,,2016 - 2017,0.41
,,2019 - 2020,0.43
,,2020 - 2021,0.5
,,2022 - 2023,0.67
,Srikakulam,2022 - 2023,
,Visakhapatanam,2000 - 2001,0.08
,Vizianagaram,2000 - 2001,0.0
,,2010 - 2011,2.4
,West godavari,2009 - 2010,0.03
,,2011 - 2012,2.44
,,2016 - 2017,0.42
,,2017 - 2018,0.46
,,2019 - 2020,0.5
Arunachal Pradesh,Anjaw,2016 - 2017,1.23
,,2017 - 2018,1.21
,,2018 - 2019,1.21
,,2019 - 2020,1.21
,,2020 - 2021,1.22
,,2021 - 2022,0.93
