state,district,year,turmeric_kharif_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,North and middle andaman,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South andamans,2005 - 2006,
,,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Andhra Pradesh,Anantapur,2000 - 2001,
,,2001 - 2002,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,11.2
,,2013 - 2014,12.33
,,2014 - 2015,11.74
,,2015 - 2016,7.95
,,2018 - 2019,0.0
,Chittoor,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,11.18
,,2013 - 2014,12.31
,,2014 - 2015,11.71
,,2015 - 2016,7.92
,,2016 - 2017,4.0
,,2017 - 2018,12.0
,,2018 - 2019,964.8
,,2019 - 2020,12.0
,East godavari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,6.62
,,2013 - 2014,6.66
,,2014 - 2015,7.19
,,2015 - 2016,6.76
,,2016 - 2017,4.22
,,2017 - 2018,12.0
,,2018 - 2019,18.6
,,2019 - 2020,12.0
,Guntur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,6.52
,,2013 - 2014,6.99
,,2014 - 2015,8.0
,,2015 - 2016,6.39
,,2016 - 2017,4.57
,,2017 - 2018,12.0
,,2018 - 2019,12.06
,,2019 - 2020,12.0
