state,district,year,urad_kharif_yield_tonne_per_hectare
Andaman and Nicobar Islands,Nicobars,2010 - 2011,
,,2013 - 2014,
,,2020 - 2021,
,North and middle andaman,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,South andamans,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Andhra Pradesh,Alluri sitharama raju,2022 - 2023,0.7
,Anakapalli,2022 - 2023,1.08
,Anantapur,2000 - 2001,0.06
,,2001 - 2002,0.36
,,2002 - 2003,0.06
,,2003 - 2004,0.62
,,2004 - 2005,0.49
,,2005 - 2006,0.35
,,2006 - 2007,0.38
,,2009 - 2010,0.3
,,2010 - 2011,0.43
,,2011 - 2012,0.53
,,2013 - 2014,0.94
,,2014 - 2015,1.32
,,2015 - 2016,0.75
,,2016 - 2017,1.17
,,2017 - 2018,0.8
,,2018 - 2019,0.92
,,2019 - 2020,0.21
,,2020 - 2021,0.19
,,2021 - 2022,1.02
,,2022 - 2023,0.74
,Annamayya,2022 - 2023,0.73
,Bapatla,2022 - 2023,0.7
,Chittoor,2000 - 2001,0.06
,,2001 - 2002,0.36
,,2002 - 2003,0.05
,,2003 - 2004,0.62
,,2004 - 2005,0.48
,,2005 - 2006,0.34
,,2006 - 2007,0.38
,,2008 - 2009,0.36
,,2009 - 2010,0.3
,,2010 - 2011,0.42
,,2011 - 2012,0.53
,,2012 - 2013,
,,2013 - 2014,0.93
,,2014 - 2015,1.33
,,2015 - 2016,0.67
,,2016 - 2017,1.17
,,2017 - 2018,0.8
,,2018 - 2019,0.92
,,2019 - 2020,0.74
,,2020 - 2021,0.79
,,2021 - 2022,1.02
,,2022 - 2023,0.74
,East godavari,2000 - 2001,0.06
,,2001 - 2002,0.36
,,2002 - 2003,0.05
,,2003 - 2004,0.62
,,2004 - 2005,0.48
,,2005 - 2006,0.34
,,2006 - 2007,0.38
,,2007 - 2008,0.0
,,2008 - 2009,0.36
,,2009 - 2010,0.29
,,2010 - 2011,0.42
,,2011 - 2012,0.5
,,2012 - 2013,1.0
,,2013 - 2014,0.63
,,2014 - 2015,1.02
,,2015 - 2016,1.07
,,2016 - 2017,0.91
,,2017 - 2018,1.2
,,2018 - 2019,1.15
,,2019 - 2020,1.07
,,2020 - 2021,1.2
,,2021 - 2022,0.93
,,2022 - 2023,1.58
,Eluru,2022 - 2023,1.34
,Guntur,2000 - 2001,0.06
,,2001 - 2002,0.36
,,2002 - 2003,0.05
,,2003 - 2004,0.62
,,2004 - 2005,0.48
,,2005 - 2006,0.34
,,2006 - 2007,0.48
,,2007 - 2008,1.0
,,2008 - 2009,0.32
,,2009 - 2010,0.94
,,2010 - 2011,0.05
,,2011 - 2012,1.1
,,2012 - 2013,1.0
,,2013 - 2014,0.67
,,2014 - 2015,1.44
,,2015 - 2016,1.47
,,2016 - 2017,0.37
,,2017 - 2018,0.76
,,2018 - 2019,0.45
,,2019 - 2020,0.7
,,2020 - 2021,0.76
,,2021 - 2022,0.48
,,2022 - 2023,1.12
,Kadapa,2000 - 2001,0.06
,,2001 - 2002,0.36
,,2002 - 2003,0.05
,,2003 - 2004,0.64
,,2004 - 2005,0.47
,,2005 - 2006,0.33
,,2006 - 2007,
,,2008 - 2009,0.33
,,2009 - 2010,0.31
,,2010 - 2011,0.42
,,2011 - 2012,0.53
,,2012 - 2013,
,,2013 - 2014,0.93
,,2014 - 2015,1.33
,,2015 - 2016,0.5
,,2016 - 2017,0.73
,,2017 - 2018,0.58
,,2018 - 2019,0.43
,,2019 - 2020,1.15
,,2020 - 2021,0.56
,,2021 - 2022,0.67
,,2022 - 2023,0.4
,Kakinada,2022 - 2023,1.24
,Konaseema,2022 - 2023,1.0
,Krishna,2000 - 2001,0.06
,,2001 - 2002,0.36
,,2002 - 2003,0.05
,,2003 - 2004,0.62
,,2004 - 2005,0.48
,,2005 - 2006,0.34
,,2006 - 2007,0.36
,,2007 - 2008,0.67
,,2008 - 2009,0.32
,,2009 - 2010,0.21
,,2010 - 2011,0.27
,,2011 - 2012,0.48
,,2012 - 2013,1.0
,,2013 - 2014,0.7
,,2014 - 2015,0.92
,,2015 - 2016,1.18
,,2016 - 2017,0.92
,,2017 - 2018,1.19
,,2018 - 2019,1.05
,,2019 - 2020,1.26
,,2020 - 2021,1.15
,,2021 - 2022,0.71
,,2022 - 2023,1.37
,Kurnool,2000 - 2001,0.06
,,2001 - 2002,0.36
,,2002 - 2003,0.05
,,2003 - 2004,0.62
,,2004 - 2005,0.48
,,2005 - 2006,0.34
,,2006 - 2007,0.38
,,2007 - 2008,0.63
,,2008 - 2009,0.36
,,2009 - 2010,0.29
,,2010 - 2011,0.42
,,2011 - 2012,0.53
,,2012 - 2013,1.0
,,2013 - 2014,0.93
