State,District,Mean,Median,Max
Andhra Pradesh,Alluri Sitharama Raju,2.3,2.3,2.3
Andhra Pradesh,Anakapalli,1.21,1.21,1.21
Andhra Pradesh,Anantapur,0.9882608695652174,0.82,3.0
Andhra Pradesh,Annamayya,1.76,1.76,1.76
Andhra Pradesh,Bapatla,2.31,2.31,2.31
Andhra Pradesh,Chittoor,1.9304347826086956,2.0,3.7
Andhra Pradesh,East Godavari,0.8766666666666665,0.85,1.29
Andhra Pradesh,Guntur,1.2944999999999998,1.275,2.04
Andhra Pradesh,Krishna,1.35,1.2,2.0
Andhra Pradesh,Kurnool,1.2208695652173913,1.2,2.28
Andhra Pradesh,Nandyal,1.48,1.48,1.48
Andhra Pradesh,Palnadu,2.3,2.3,2.3
Andhra Pradesh,Parvathipuram Manyam,2.28,2.28,2.28
Andhra Pradesh,Prakasam,1.7491304347826082,1.81,2.91
Andhra Pradesh,Spsr Nellore,2.41695652173913,2.41,3.74
Andhra Pradesh,Sri Sathya Sai,1.3,1.3,1.3
Andhra Pradesh,Srikakulam,1.828695652173913,1.73,3.36
Andhra Pradesh,Tirupati,3.13,3.13,3.13
Andhra Pradesh,Visakhapatanam,1.008695652173913,0.98,2.31
Andhra Pradesh,Vizianagaram,1.1331818181818183,1.07,2.32
Andhra Pradesh,West Godavari,1.2166666666666668,1.2,1.36
Andhra Pradesh,Y.s.r.,1.8600000000000003,1.81,2.71
Bihar,Araria,0.83,0.83,0.83
Bihar,Aurangabad,1.0,1.0,1.0
Bihar,Banka,1.0425,1.03,1.11
Bihar,Begusarai,1.1,1.1,1.1
Bihar,Bhagalpur,1.0810526315789473,1.11,1.2
Bihar,Bhojpur,1.0734782608695652,1.13,1.21
Bihar,Buxar,1.0978260869565217,1.13,1.23
Bihar,Darbhanga,1.04,1.04,1.04
Bihar,Gaya,1.0683333333333334,1.05,1.17
Bihar,Gopalganj,1.0046153846153847,1.08,1.2
Bihar,Jehanabad,1.0,1.0,1.0
Bihar,Kaimur (Bhabua),0.8866666666666667,0.88,1.06
Bihar,Katihar,1.13,1.13,1.13
Bihar,Khagaria,1.0,1.0,1.0
Bihar,Madhepura,1.085,1.085,1.17
Bihar,Madhubani,0.6950000000000001,0.6950000000000001,0.74
Bihar,Nawada,1.1260000000000001,1.13,1.2
Bihar,Pashchim Champaran,1.0192857142857144,1.07,1.13
Bihar,Patna,1.08375,1.085,1.14
Bihar,Purbi Champaran,1.0150000000000001,1.0150000000000001,1.03
Bihar,Rohtas,1.0787499999999999,1.06,1.63
Bihar,Saharsa,0.8,0.8,0.8
Bihar,Samastipur,1.0,1.0,1.0
Bihar,Saran,0.9410000000000001,1.0,1.2
Bihar,Sheohar,0.94,0.94,1.13
Bihar,Sitamarhi,1.08,1.08,1.12
Bihar,Siwan,1.0621739130434784,1.13,1.2
Bihar,Vaishali,1.0,1.0,1.0
Chhattisgarh,Baloda Bazar,0.9033333333333333,1.0,1.0
