State,District,Mean,Median,Max
Andhra Pradesh,Anantapur,0.46173913043478265,0.47,0.94
Andhra Pradesh,Annamayya,0.31,0.31,0.31
Andhra Pradesh,Bapatla,0.33,0.33,0.33
Andhra Pradesh,Chittoor,0.4795,0.485,0.88
Andhra Pradesh,East Godavari,0.48615384615384616,0.52,0.8
Andhra Pradesh,Guntur,0.8540909090909089,0.73,1.94
Andhra Pradesh,Krishna,0.5033333333333333,0.365,1.0
Andhra Pradesh,Kurnool,0.5082608695652173,0.5,0.97
Andhra Pradesh,Nandyal,0.3,0.3,0.3
Andhra Pradesh,Palnadu,0.32,0.32,0.32
Andhra Pradesh,Prakasam,0.42956521739130443,0.41,0.92
Andhra Pradesh,Spsr Nellore,0.4418181818181818,0.33,0.83
Andhra Pradesh,Sri Sathya Sai,0.26,0.26,0.26
Andhra Pradesh,Srikakulam,1.0,1.0,1.0
Andhra Pradesh,Visakhapatanam,0.5069230769230769,0.5,1.0
Andhra Pradesh,Vizianagaram,0.6166666666666667,0.5,1.0
Andhra Pradesh,West Godavari,0.3633333333333333,0.3,0.5
Andhra Pradesh,Y.s.r.,0.5373913043478261,0.5,1.0
Assam,Baksa,0.5883333333333334,0.585,0.7
Assam,Barpeta,0.5695652173913042,0.59,0.79
Assam,Biswanath,0.575,0.575,0.75
Assam,Bongaigaon,0.48,0.44,0.71
Assam,Cachar,1.0,1.0,1.0
Assam,Chirang,0.46875,0.47,0.67
Assam,Darrang,0.6781818181818182,0.5,1.0
Assam,Dhemaji,0.5165217391304348,0.45,0.7
Assam,Dhubri,0.7165217391304348,0.67,1.0
Assam,Dibrugarh,0.35062499999999996,0.33,0.5
Assam,Dima Hasao,0.46608695652173915,0.45,0.63
Assam,Goalpara,0.4478260869565217,0.38,1.39
Assam,Golaghat,0.6056521739130434,0.63,0.7
Assam,Hailakandi,0.4305882352941176,0.4,0.67
Assam,Jorhat,0.46565217391304353,0.45,0.59
Assam,Kamrup,0.41608695652173905,0.36,1.0
Assam,Kamrup Metro,0.36909090909090914,0.33,0.5
Assam,Karbi Anglong,0.4191304347826087,0.4,0.57
Assam,Karimganj,1.0,1.0,1.0
Assam,Kokrajhar,0.5295652173913044,0.54,0.78
Assam,Lakhimpur,0.5156521739130434,0.45,0.69
Assam,Majuli,0.47666666666666674,0.53,0.53
Assam,Marigaon,0.2947826086956522,0.25,0.6
Assam,Nagaon,0.5378260869565218,0.42,1.0
Assam,Nalbari,0.7222727272727273,0.6,1.0
Assam,Sivasagar,0.5931578947368421,0.5,1.0
Assam,Sonitpur,0.44652173913043475,0.44,0.5
Assam,Tinsukia,0.45055555555555554,0.43,0.6
Assam,Udalguri,0.49125,0.44999999999999996,1.0
Assam,West Karbi Anglong,0.39333333333333337,0.39,0.4
Bihar,Arwal,1.0,1.0,1.0
Bihar,Aurangabad,0.99,0.99,0.99
