State,District,Mean,Median,Max
A & N Islands,Nicobars,2.9164705882352937,2.81,7.9
A & N Islands,North And Middle Andaman,8.107857142857142,9.135,14.33
A & N Islands,South Andamans,7.561249999999999,8.57,11.85
Andhra Pradesh,Alluri Sitharama Raju,2.95,2.95,2.95
Andhra Pradesh,Anantapur,2.835,2.835,3.0
Andhra Pradesh,Bapatla,3.0,3.0,3.0
Andhra Pradesh,Chittoor,2.5566666666666666,2.67,3.0
Andhra Pradesh,East Godavari,2.67,2.71,3.13
Andhra Pradesh,Guntur,1.91,1.91,1.91
Andhra Pradesh,Krishna,3.8652631578947365,2.75,9.33
Andhra Pradesh,Kurnool,2.4183333333333334,2.755,3.0
Andhra Pradesh,Ntr,3.0,3.0,3.0
Andhra Pradesh,Parvathipuram Manyam,2.07,2.07,2.07
Andhra Pradesh,Prakasam,3.9074999999999998,3.0,7.75
Andhra Pradesh,Spsr Nellore,3.0,3.0,3.0
Andhra Pradesh,Sri Sathya Sai,3.0,3.0,3.0
Andhra Pradesh,Srikakulam,2.9681818181818187,2.025,9.33
Andhra Pradesh,Visakhapatanam,2.392380952380953,2.63,2.84
Andhra Pradesh,Vizianagaram,3.57,2.75,9.32
Andhra Pradesh,West Godavari,4.0575,2.875,9.5
Andhra Pradesh,Y.s.r.,3.2916666666666665,2.5,8.0
Arunachal Pradesh,Anjaw,7.173157894736842,7.0,20.16
Arunachal Pradesh,Changlang,6.765217391304346,7.21,7.73
Arunachal Pradesh,Dibang Valley,5.572173913043479,4.82,16.67
Arunachal Pradesh,East Kameng,4.3426086956521734,4.44,4.95
Arunachal Pradesh,East Siang,8.880869565217392,8.31,22.01
Arunachal Pradesh,Kamle,6.0600000000000005,5.98,6.23
Arunachal Pradesh,Kra Daadi,6.28125,6.205,7.35
Arunachal Pradesh,Kurung Kumey,5.808571428571428,6.0,7.25
Arunachal Pradesh,Leparada,7.367500000000001,7.385,7.59
Arunachal Pradesh,Lohit,8.383478260869564,8.23,10.0
