State,District,Mean,Median,Max
Andhra Pradesh,Anantapur,0.3618181818181818,0.29,1.0
Andhra Pradesh,Chittoor,0.285,0.255,0.5
Andhra Pradesh,East Godavari,0.21,0.21,0.21
Andhra Pradesh,Guntur,0.23,0.23,0.23
Andhra Pradesh,Krishna,0.315,0.315,0.43
Andhra Pradesh,Kurnool,0.2925,0.25,0.5
Andhra Pradesh,Y.s.r.,0.41,0.48,0.48
Assam,Baksa,0.6616666666666666,0.645,0.76
Assam,Barpeta,0.5978260869565217,0.59,0.77
Assam,Biswanath,0.77,0.77,0.78
Assam,Bongaigaon,0.4804347826086956,0.49,0.63
Assam,Cachar,0.4686956521739132,0.44,0.63
Assam,Chirang,0.5650000000000001,0.59,0.73
Assam,Darrang,0.5986956521739131,0.59,0.97
Assam,Dhemaji,0.588695652173913,0.53,0.78
Assam,Dhubri,0.5965217391304346,0.55,0.81
Assam,Dibrugarh,0.50625,0.5,1.0
Assam,Dima Hasao,0.4869230769230769,0.5,0.5
Assam,Goalpara,0.577391304347826,0.55,1.02
Assam,Golaghat,0.557,0.57,0.59
Assam,Hailakandi,0.524090909090909,0.5,0.67
Assam,Hojai,0.51,0.51,0.51
Assam,Jorhat,0.7957142857142857,0.71,1.0
Assam,Kamrup,0.4973913043478259,0.51,0.64
Assam,Kamrup Metro,0.5427777777777778,0.515,0.67
Assam,Karbi Anglong,0.4386956521739129,0.43,0.57
Assam,Karimganj,0.4565217391304349,0.43,0.59
Assam,Kokrajhar,0.5504347826086956,0.54,0.79
Assam,Lakhimpur,0.4342857142857143,0.37,0.7
Assam,Majuli,0.5766666666666668,0.55,0.65
Assam,Marigaon,0.47260869565217395,0.48,0.63
Assam,Nagaon,0.5165217391304349,0.47,0.89
Assam,Nalbari,0.6295652173913043,0.59,0.81
Assam,Sivasagar,0.9390909090909091,1.0,1.0
Assam,Sonitpur,0.5578260869565218,0.53,0.84
Assam,South Salmara Mancachar,0.6433333333333333,0.75,0.75
Assam,Tinsukia,0.6000000000000001,0.5,1.0
Assam,Udalguri,0.5461111111111112,0.53,0.75
Assam,West Karbi Anglong,0.3666666666666667,0.4,0.43
Bihar,Araria,0.8,0.85,0.87
Bihar,Arwal,0.8438888888888888,0.85,0.87
Bihar,Aurangabad,0.8252173913043478,0.85,0.87
Bihar,Banka,0.8286956521739132,0.85,0.87
Bihar,Begusarai,0.9123076923076924,1.0,1.0
Bihar,Bhagalpur,0.8286956521739133,0.85,0.87
Bihar,Bhojpur,0.8447826086956521,0.85,0.95
Bihar,Buxar,0.8452173913043477,0.85,0.95
Bihar,Darbhanga,0.8227272727272728,0.85,0.88
Bihar,Gaya,0.8194444444444444,0.85,0.87
Bihar,Gopalganj,0.8564285714285714,0.85,1.0
Bihar,Jamui,0.8143750000000001,0.82,0.92
Bihar,Jehanabad,0.8260869565217391,0.85,0.87
Bihar,Kaimur (Bhabua),0.8482608695652176,0.85,0.91
Bihar,Katihar,0.8100000000000002,0.85,0.87
Bihar,Khagaria,0.8243478260869566,0.83,0.9
Bihar,Kishanganj,0.8121739130434785,0.85,0.87
Bihar,Lakhisarai,0.8252631578947367,0.83,1.0
Bihar,Madhepura,0.8286956521739129,0.84,0.87
Bihar,Madhubani,0.8286956521739129,0.85,0.87
Bihar,Munger,0.8252173913043477,0.83,0.98
Bihar,Muzaffarpur,0.8213636363636364,0.85,0.88
Bihar,Nalanda,0.8204999999999998,0.84,0.95
Bihar,Nawada,0.8252173913043478,0.85,0.87
Bihar,Pashchim Champaran,0.8434782608695653,0.85,0.93
Bihar,Patna,0.8217391304347825,0.85,0.95
Bihar,Purbi Champaran,0.8436363636363636,0.855,0.88
Bihar,Purnia,0.8022727272727274,0.85,0.87
Bihar,Rohtas,0.8473913043478262,0.85,1.0
Bihar,Saharsa,0.8247826086956522,0.85,0.87
Bihar,Samastipur,0.802608695652174,0.85,0.87
Bihar,Saran,0.8664285714285714,0.85,1.0
Bihar,Sheikhpura,0.8155555555555556,0.82,0.92
Bihar,Sheohar,0.8399999999999999,0.85,0.88
Bihar,Sitamarhi,0.8369565217391306,0.85,0.87
Bihar,Siwan,0.8556521739130433,0.86,0.99
Bihar,Supaul,0.8269565217391304,0.85,0.87
Bihar,Vaishali,0.8345454545454544,0.84,0.88
Chhattisgarh,Balod,0.32,0.31,0.4
Chhattisgarh,Baloda Bazar,0.38299999999999995,0.38,0.48
Chhattisgarh,Balrampur,0.3536363636363636,0.36,0.44
Chhattisgarh,Bastar,0.3336363636363637,0.31,0.52
Chhattisgarh,Bemetara,0.33,0.35,0.38
Chhattisgarh,Bilaspur,0.2931818181818182,0.28500000000000003,0.43
Chhattisgarh,Dantewada,0.5,0.5,0.5
Chhattisgarh,Dhamtari,0.33,0.31,0.46
Chhattisgarh,Durg,0.2736363636363637,0.27,0.45
Chhattisgarh,Gariyaband,0.34777777777777774,0.37,0.5
Chhattisgarh,Gaurella Pendra Marwahi,0.2875,0.28500000000000003,0.33
Chhattisgarh,Janjgir-Champa,0.31590909090909086,0.3,0.48
Chhattisgarh,Jashpur,0.3068181818181818,0.3,0.44
Chhattisgarh,Kabirdham,0.29454545454545455,0.275,0.45
Chhattisgarh,Kanker,0.37136363636363634,0.365,0.53
Chhattisgarh,Khairgarh Chhuikhadan Gandai,0.38,0.38,0.38
Chhattisgarh,Kondagaon,0.4018181818181818,0.42,0.52
Chhattisgarh,Korba,0.2559090909090909,0.245,0.37
Chhattisgarh,Korea,0.26272727272727275,0.24,0.38
Chhattisgarh,Mahasamund,0.312,0.28,0.5
Chhattisgarh,Manendragarh Chirimiri Bharatpur,0.21,0.21,0.21
Chhattisgarh,Mohla Manpur Ambagarh Chouki,0.33,0.33,0.33
Chhattisgarh,Mungeli,0.3409090909090909,0.37,0.48
Chhattisgarh,Narayanpur,0.5945454545454546,0.5,1.0
Chhattisgarh,Raigarh,0.33363636363636373,0.315,0.5
Chhattisgarh,Raipur,0.33681818181818185,0.29,0.59
Chhattisgarh,Rajnandgaon,0.3159090909090909,0.29000000000000004,0.44
Chhattisgarh,Surajpur,0.3854545454545455,0.4,0.48
Chhattisgarh,Surguja,0.31818181818181823,0.295,0.48
Haryana,Panchkula,8.0,8.0,8.0
Haryana,Yamunanagar,8.0,8.0,8.0
Himachal Pradesh,Chamba,0.15666666666666665,0.18,0.2
Himachal Pradesh,Hamirpur,0.61,0.61,1.0
Himachal Pradesh,Kangra,0.28833333333333333,0.28500000000000003,0.42
Himachal Pradesh,Kullu,0.29,0.29,0.29
Himachal Pradesh,Mandi,0.20666666666666667,0.21,0.49
Himachal Pradesh,Una,0.29500000000000004,0.29500000000000004,0.32
Jammu & Kashmir,Bandipora,1.075,1.0,2.0
Jammu & Kashmir,Baramulla,0.506,0.44,1.0
Jammu & Kashmir,Budgam,1.024,0.96,1.2
Jammu & Kashmir,Doda,0.29,0.305,0.35
Jammu & Kashmir,Jammu,0.6210526315789474,0.53,1.3
Jammu & Kashmir,Kathua,0.51,0.3,2.48
Jammu & Kashmir,Poonch,0.4275,0.33,1.0
Jammu & Kashmir,Pulwama,1.1385,1.03,2.52
Jammu & Kashmir,Rajouri,0.5266666666666667,0.41500000000000004,1.22
Jammu & Kashmir,Reasi,0.2833333333333333,0.35,0.35
Jammu & Kashmir,Samba,0.754,0.7,1.1
Jammu & Kashmir,Srinagar,0.9275,0.9750000000000001,1.18
Jammu & Kashmir,Udhampur,0.3433333333333333,0.3,0.43
Jharkhand,Bokaro,0.5825,0.59,0.6
Jharkhand,Chatra,0.7916666666666666,0.795,0.8
Jharkhand,Deoghar,0.6916666666666668,0.7,0.7
Jharkhand,Dhanbad,0.6716666666666667,0.695,0.71
Jharkhand,Dumka,0.57,0.5700000000000001,0.7
