State,District,Mean,Median,Max
Maharashtra,Ahmednagar,0.7071428571428572,0.72,1.0
Maharashtra,Akola,0.19,0.19,0.19
Maharashtra,Amravati,0.422,0.31,0.7
Maharashtra,Aurangabad,0.63,0.54,1.0
Maharashtra,Beed,0.6625,0.53,1.28
Maharashtra,Bhandara,0.2814285714285715,0.27,0.5
Maharashtra,Buldhana,0.36,0.3,0.67
Maharashtra,Chandrapur,0.3928571428571428,0.4,0.6
Maharashtra,Dhule,0.41,0.41,0.41
Maharashtra,Gadchiroli,0.33599999999999997,0.28,0.5
Maharashtra,Gondia,0.354,0.39,0.4
Maharashtra,Hingoli,0.07,0.07,0.07
Maharashtra,Jalgaon,0.33,0.31,0.44
Maharashtra,Jalna,0.65,0.71,1.0
Maharashtra,Kolhapur,0.5657142857142857,0.55,1.0
Maharashtra,Latur,0.185,0.185,0.3
Maharashtra,Nagpur,0.366,0.34,0.5
Maharashtra,Nandurbar,0.4614285714285714,0.42,0.75
Maharashtra,Nashik,0.5333333333333333,0.43,0.77
Maharashtra,Osmanabad,0.32999999999999996,0.32999999999999996,0.35
Maharashtra,Parbhani,0.31,0.31,0.31
Maharashtra,Pune,0.726,0.76,1.0
Maharashtra,Raigad,0.35,0.35,0.35
Maharashtra,Ratnagiri,0.415,0.415,0.48
Maharashtra,Satara,0.59,0.59,0.59
Maharashtra,Solapur,0.7,0.76,1.0
Maharashtra,Wardha,0.32,0.32,0.32
Maharashtra,Washim,0.3216666666666667,0.315,0.4
Maharashtra,Yavatmal,0.306,0.27,0.5
Puducherry,Pondicherry,1.1742857142857144,1.0,2.8
Uttarakhand,Haridwar,0.58,0.58,0.58
Uttarakhand,Udam Singh Nagar,0.67,0.67,0.67
