State,District,Mean,Median,Max
A & N Islands,North And Middle Andaman,1.215,0.73,3.0
A & N Islands,South Andamans,0.5,0.5,0.5
Andhra Pradesh,Alluri Sitharama Raju,1.0,1.0,1.0
Andhra Pradesh,Anakapalli,1.0,1.0,1.0
Andhra Pradesh,Anantapur,0.5365217391304348,0.54,0.91
Andhra Pradesh,Annamayya,1.55,1.55,1.55
Andhra Pradesh,Bapatla,1.0,1.0,1.0
Andhra Pradesh,Chittoor,0.888181818181818,0.83,1.81
Andhra Pradesh,East Godavari,1.07,1.02,2.27
Andhra Pradesh,Eluru,1.0,1.0,1.0
Andhra Pradesh,Guntur,0.9773333333333334,1.0,1.25
Andhra Pradesh,Krishna,1.02,1.065,1.33
Andhra Pradesh,Kurnool,0.791304347826087,0.78,1.21
Andhra Pradesh,Nandyal,1.05,1.05,1.05
Andhra Pradesh,Ntr,1.0,1.0,1.0
Andhra Pradesh,Palnadu,1.0,1.0,1.0
Andhra Pradesh,Parvathipuram Manyam,1.0,1.0,1.0
Andhra Pradesh,Prakasam,1.0704347826086955,1.08,1.52
Andhra Pradesh,Spsr Nellore,0.8943478260869564,0.97,1.2
Andhra Pradesh,Sri Sathya Sai,0.87,0.87,0.87
Andhra Pradesh,Srikakulam,1.0656521739130436,1.06,1.88
Andhra Pradesh,Tirupati,1.07,1.07,1.07
Andhra Pradesh,Visakhapatanam,1.038421052631579,1.03,2.0
Andhra Pradesh,Vizianagaram,0.9949999999999999,1.01,1.24
Andhra Pradesh,West Godavari,1.073636363636364,1.07,2.09
Andhra Pradesh,Y.s.r.,0.8352173913043477,0.77,1.94
Arunachal Pradesh,Changlang,1.2557142857142856,1.43,1.8
Arunachal Pradesh,Dibang Valley,0.7885714285714285,0.84,0.84
Arunachal Pradesh,East Siang,0.7857142857142857,0.79,0.8
Arunachal Pradesh,Leparada,0.875,0.86,0.93
Arunachal Pradesh,Lohit,0.8685714285714285,0.89,0.89
Arunachal Pradesh,Lower Dibang Valley,0.53,0.36,0.93
Arunachal Pradesh,Lower Siang,1.5559999999999998,1.92,1.96
Arunachal Pradesh,Lower Subansiri,1.02,1.05,1.11
Arunachal Pradesh,Namsai,0.6628571428571429,0.64,0.81
Arunachal Pradesh,Papum Pare,0.5985714285714286,0.48,0.86
Arunachal Pradesh,Shi Yomi,0.6024999999999999,0.6,0.63
Arunachal Pradesh,Siang,0.6842857142857143,0.5,0.98
Arunachal Pradesh,West Siang,0.6771428571428572,0.61,0.79
Bihar,Araria,1.424090909090909,1.43,1.74
Bihar,Arwal,1.32125,1.415,1.46
Bihar,Aurangabad,1.5157142857142856,1.5,1.67
Bihar,Begusarai,1.4119047619047618,1.43,1.66
Bihar,Bhagalpur,1.4395652173913043,1.45,1.48
Bihar,Buxar,1.3499999999999999,1.33,1.55
