State,District,Mean,Median,Max
A & N Islands,Nicobars,8.154615384615385,8.33,13.67
A & N Islands,North And Middle Andaman,12.855384615384615,11.78,24.63
A & N Islands,South Andamans,19.633846153846154,13.33,51.03
Andhra Pradesh,Alluri Sitharama Raju,9.26,9.26,9.26
Andhra Pradesh,Anakapalli,12.63,12.63,12.63
Andhra Pradesh,Chittoor,10.46375,11.165,16.8
Andhra Pradesh,East Godavari,12.041818181818183,11.78,19.65
Andhra Pradesh,Guntur,7.2,7.2,7.2
Andhra Pradesh,Kakinada,11.85,11.85,11.85
Andhra Pradesh,Konaseema,12.57,12.57,12.57
Andhra Pradesh,Krishna,9.76,8.02,17.0
Andhra Pradesh,Kurnool,17.0,17.0,17.0
Andhra Pradesh,Palnadu,13.0,13.0,13.0
Andhra Pradesh,Parvathipuram Manyam,12.6,12.6,12.6
Andhra Pradesh,Spsr Nellore,11.124999999999998,12.09,17.44
Andhra Pradesh,Srikakulam,10.069523809523808,8.27,19.61
Andhra Pradesh,Tirupati,12.63,12.63,12.63
Andhra Pradesh,Visakhapatanam,10.129545454545454,6.43,20.43
Andhra Pradesh,Vizianagaram,10.44590909090909,10.305,18.42
Andhra Pradesh,West Godavari,18.224999999999998,18.41,26.1
Assam,Baksa,9.47111111111111,8.98,12.82
Assam,Barpeta,7.114545454545455,8.265,10.6
Assam,Biswanath,13.333333333333334,11.67,16.66
Assam,Bongaigaon,7.024090909090909,7.875,9.8
Assam,Cachar,7.052727272727274,8.785,10.24
Assam,Charaideo,9.0,9.0,9.0
Assam,Chirang,5.323888888888891,5.05,8.36
Assam,Darrang,6.491052631578947,4.5,14.0
Assam,Dhemaji,4.848181818181818,5.59,8.31
Assam,Dhubri,4.988636363636364,4.74,8.45
Assam,Dibrugarh,7.325454545454547,9.665,10.5
Assam,Dima Hasao,5.718636363636365,5.6850000000000005,7.05
Assam,Goalpara,5.8531818181818185,5.7,8.51
Assam,Golaghat,6.395909090909091,7.465,9.15
Assam,Hailakandi,6.91611111111111,4.585,13.0
Assam,Hojai,9.39,9.26,9.65
Assam,Jorhat,7.767727272727272,9.515,10.5
Assam,Kamrup,5.113181818181817,4.56,9.1
Assam,Kamrup Metro,6.7423076923076914,9.0,9.58
Assam,Karbi Anglong,8.455909090909092,10.280000000000001,11.56
Assam,Karimganj,6.010000000000001,4.365,10.0
Assam,Kokrajhar,8.217272727272727,10.125,13.2
Assam,Lakhimpur,6.818181818181817,8.629999999999999,9.6
Assam,Majuli,10.0,10.0,10.0
Assam,Marigaon,6.7749999999999995,7.335,9.5
Assam,Nagaon,7.005454545454544,6.835000000000001,16.5
Assam,Nalbari,8.552380952380952,8.4,12.0
Assam,Sivasagar,6.767272727272727,8.015,10.0
Assam,Sonitpur,7.279545454545453,8.73,11.74
Assam,South Salmara Mancachar,9.843333333333334,9.6,10.43
Assam,Tinsukia,6.403636363636363,7.215,9.25
Assam,Udalguri,7.762222222222222,9.49,11.54
Assam,West Karbi Anglong,10.826666666666668,11.3,11.3
Karnataka,Bagalkote,12.49,12.765,13.0
Karnataka,Ballari,13.165,13.165,13.33
Karnataka,Belagavi,10.972857142857142,11.58,13.0
Karnataka,Bengaluru Rural,9.699090909090907,8.875,20.0
Karnataka,Bengaluru Urban,12.102,12.75,13.25
Karnataka,Bidar,12.892499999999998,12.77,13.33
Karnataka,Chamarajanagara,10.915555555555557,11.71,13.29
Karnataka,Chikkaballapura,12.5,12.5,13.5
Karnataka,Chikkamagaluru,10.933529411764706,10.86,13.29
Karnataka,Chitradurga,12.68,12.68,12.68
Karnataka,Dakshina Kannada,9.31,8.36,13.0
Karnataka,Davangere,13.0,13.0,13.0
Karnataka,Dharwad,11.8125,12.695,12.86
Karnataka,Gadag,12.011666666666665,12.725,13.29
Karnataka,Hassan,10.777777777777779,12.18,13.81
Karnataka,Haveri,12.916666666666666,13.0,13.0
Karnataka,Kalaburagi,12.61,12.67,13.33
Karnataka,Kodagu,14.433636363636365,12.809999999999999,20.2
Karnataka,Kolar,12.625,12.835,13.33
Karnataka,Koppal,12.39,12.67,12.8
Karnataka,Mandya,9.868571428571428,9.0,13.0
Karnataka,Mysuru,9.911874999999998,9.690000000000001,13.29
Karnataka,Raichur,12.835,12.835,13.0
Karnataka,Ramanagara,9.71125,9.5,13.28
Karnataka,Shivamogga,9.37,8.53,13.5
Karnataka,Tumakuru,9.03,8.75,13.29
Karnataka,Udupi,9.236,8.565000000000001,13.5
Karnataka,Uttara Kannada,13.0,13.0,13.0
Karnataka,Vijayapura,12.69,12.75,12.82
Karnataka,Yadgir,12.9275,12.77,13.5
Kerala,Alappuzha,29.77521739130435,28.19,50.72
Kerala,Ernakulam,39.89,40.1,56.08
Kerala,Idukki,40.72304347826088,40.65,55.1
Kerala,Kannur,34.66826086956521,36.68,47.91
Kerala,Kasaragod,28.362608695652174,24.84,43.37
Kerala,Kollam,31.657391304347822,30.57,45.48
Kerala,Kottayam,37.65434782608696,37.88,53.73
Kerala,Kozhikode,27.044347826086955,26.12,43.93
Kerala,Malappuram,35.01869565217392,35.4,46.36
Kerala,Palakkad,30.709565217391308,29.09,56.54
