State,District,Mean,Median,Max
A & N Islands,Nicobars,1.5133333333333336,0.5,7.0
A & N Islands,North And Middle Andaman,5.832857142857143,5.775,10.05
A & N Islands,South Andamans,8.453333333333331,7.0,23.46
Andhra Pradesh,Anantapur,8.815,8.120000000000001,12.33
Andhra Pradesh,Chittoor,58.985789473684214,8.23,964.8
Andhra Pradesh,East Godavari,7.439473684210526,6.62,18.6
Andhra Pradesh,Guntur,7.296842105263159,6.54,12.06
Andhra Pradesh,Krishna,9.637894736842105,10.69,15.85
Andhra Pradesh,Kurnool,10.85157894736842,9.02,24.73
Andhra Pradesh,Prakasam,7.025263157894738,6.62,12.0
Andhra Pradesh,Spsr Nellore,7.532631578947369,6.63,20.38
Andhra Pradesh,Srikakulam,7.262631578947369,6.63,15.24
Andhra Pradesh,Visakhapatanam,4.637368421052631,2.81,18.58
Andhra Pradesh,Vizianagaram,6.2964705882352945,6.27,8.28
Andhra Pradesh,West Godavari,6.994210526315789,6.62,12.0
Andhra Pradesh,Y.s.r.,8.081578947368422,7.87,14.16
Arunachal Pradesh,Anjaw,4.357368421052631,3.38,22.7
Arunachal Pradesh,Changlang,4.468181818181819,4.875,6.8
Arunachal Pradesh,Dibang Valley,4.5525,4.22,8.0
Arunachal Pradesh,East Kameng,3.44,3.44,3.44
Arunachal Pradesh,East Siang,2.856086956521739,2.0,4.62
Arunachal Pradesh,Kurung Kumey,4.882,6.92,7.08
Arunachal Pradesh,Leparada,4.1225000000000005,4.18,4.19
Arunachal Pradesh,Lohit,4.433478260869564,4.99,7.0
Arunachal Pradesh,Lower Dibang Valley,6.758571428571429,6.85,7.5
Arunachal Pradesh,Lower Siang,3.8299999999999996,3.84,3.85
Arunachal Pradesh,Lower Subansiri,4.705,4.5,8.15
Arunachal Pradesh,Namsai,5.445,5.4,5.77
Arunachal Pradesh,Papum Pare,5.607222222222223,5.575,7.2
Arunachal Pradesh,Shi Yomi,4.5775,4.654999999999999,4.67
Arunachal Pradesh,Siang,3.98125,3.84,4.38
Arunachal Pradesh,Tawang,2.918095238095238,2.83,7.54
Arunachal Pradesh,Tirap,5.574999999999999,5.2,7.1
Arunachal Pradesh,Upper Subansiri,3.9399999999999995,3.4299999999999997,7.17
Arunachal Pradesh,West Siang,4.274285714285713,4.5,4.95
Assam,Baksa,1.165,1.26,1.5
Assam,Barpeta,0.9786956521739131,0.83,1.48
Assam,Biswanath,0.9500000000000001,0.9,1.05
Assam,Bongaigaon,0.792608695652174,0.69,1.38
Assam,Cachar,1.946521739130435,2.12,2.5
Assam,Charaideo,1.0333333333333334,1.03,1.04
Assam,Chirang,0.7583333333333333,0.68,1.27
Assam,Darrang,0.7039130434782608,0.64,1.05
Assam,Dhemaji,0.7921739130434782,0.68,1.25
Assam,Dhubri,0.837391304347826,0.77,1.21
Assam,Dibrugarh,0.767391304347826,0.68,1.46
Assam,Dima Hasao,1.0856521739130436,0.57,2.73
Assam,Goalpara,0.8517391304347828,0.93,1.52
Assam,Golaghat,0.7404347826086957,0.64,1.57
Assam,Hailakandi,0.7365217391304348,0.61,1.59
Assam,Hojai,1.2366666666666666,1.03,1.65
Assam,Jorhat,0.6899999999999998,0.63,1.27
Assam,Kamrup,1.0039130434782606,0.97,1.27
Assam,Kamrup Metro,1.6122222222222224,1.76,2.48
Assam,Karbi Anglong,1.1543478260869566,1.0,2.14
Assam,Karimganj,0.6673913043478261,0.63,1.25
Assam,Kokrajhar,0.8852173913043481,0.8,1.18
Assam,Lakhimpur,0.7404347826086957,0.69,0.96
Assam,Majuli,1.05,1.03,1.09
Assam,Marigaon,1.1408695652173915,1.17,1.7
Assam,Nagaon,0.8,0.86,1.06
Assam,Nalbari,1.0482608695652171,0.96,1.51
Assam,Sivasagar,0.8773913043478261,0.83,1.65
Assam,Sonitpur,1.0652173913043477,0.84,1.85
Assam,South Salmara Mancachar,1.1266666666666667,1.09,1.2
Assam,Tinsukia,0.7021739130434783,0.67,1.19
Assam,Udalguri,0.7977777777777778,0.7350000000000001,1.16
Assam,West Karbi Anglong,2.04,2.0,2.15
Bihar,Araria,1.1258333333333332,0.995,1.95
Bihar,Arwal,1.062,1.0,1.2
Bihar,Aurangabad,1.0825,1.0,1.33
Bihar,Banka,1.0,1.0,1.0
Bihar,Begusarai,0.9207142857142859,0.9450000000000001,1.07
Bihar,Bhagalpur,1.0286666666666668,1.04,1.17
Bihar,Bhojpur,1.07,1.0,1.33
Bihar,Darbhanga,0.9528571428571428,1.0,1.0
Bihar,Gaya,1.05125,1.0,1.33
Bihar,Gopalganj,1.085,1.085,1.17
Bihar,Jehanabad,1.0,1.0,1.0
Bihar,Katihar,1.1806666666666668,1.2,1.95
Bihar,Khagaria,0.97,1.0,1.15
Bihar,Kishanganj,1.074,1.01,1.89
Bihar,Lakhisarai,1.0,1.0,1.0
Bihar,Madhepura,1.0378571428571433,1.05,1.16
Bihar,Madhubani,0.9013333333333333,0.92,1.08
Bihar,Muzaffarpur,1.086,1.16,1.22
Bihar,Nalanda,1.0,1.0,1.0
Bihar,Nawada,1.0,1.0,1.0
Bihar,Pashchim Champaran,1.1135714285714287,1.14,1.25
Bihar,Patna,0.69,0.69,0.71
Bihar,Purbi Champaran,1.0999999999999999,1.0550000000000002,1.39
Bihar,Purnia,1.145,0.995,2.0
Bihar,Rohtas,1.0222222222222221,1.0,1.2
Bihar,Saharsa,1.0,1.0,1.0
Bihar,Samastipur,0.9986666666666666,1.0,1.08
Bihar,Sheohar,0.9866666666666667,1.0,1.13
Bihar,Sitamarhi,1.014,0.98,1.11
Bihar,Siwan,1.0808333333333329,1.13,1.19
Bihar,Supaul,0.8846666666666665,0.97,1.16
Bihar,Vaishali,1.021111111111111,1.0,1.19
Chhattisgarh,Balod,1.2142857142857142,1.0,1.5
Chhattisgarh,Baloda Bazar,1.7691666666666663,1.6549999999999998,2.18
Chhattisgarh,Balrampur,0.9199999999999999,0.88,1.29
Chhattisgarh,Bastar,0.8134782608695652,0.86,0.95
Chhattisgarh,Bemetara,1.9158333333333335,1.1549999999999998,7.16
Chhattisgarh,Bijapur,0.8013333333333333,0.82,1.33
Chhattisgarh,Bilaspur,0.9928571428571428,1.0,1.2
Chhattisgarh,Dantewada,0.765909090909091,0.775,1.11
Chhattisgarh,Dhamtari,1.8888235294117646,2.0,3.0
Chhattisgarh,Durg,1.066875,1.0,1.81
Chhattisgarh,Gariyaband,2.173333333333334,2.0,3.0
Chhattisgarh,Gaurella Pendra Marwahi,1.0,1.0,1.0
Chhattisgarh,Janjgir-Champa,0.9447619047619046,1.0,1.0
Chhattisgarh,Jashpur,0.7817391304347826,0.74,1.63
Chhattisgarh,Kabirdham,1.0,1.0,1.0
Chhattisgarh,Kanker,0.7760869565217391,0.82,1.2
Chhattisgarh,Khairgarh Chhuikhadan Gandai,1.0,1.0,1.0
Chhattisgarh,Kondagaon,1.2658333333333334,1.4649999999999999,1.63
Chhattisgarh,Korba,0.9625,1.0,1.25
Chhattisgarh,Korea,1.0234782608695654,0.88,4.34
Chhattisgarh,Mahasamund,1.9852380952380955,2.0,2.57
Chhattisgarh,Manendragarh Chirimiri Bharatpur,0.5,0.5,0.5
Chhattisgarh,Mohla Manpur Ambagarh Chouki,1.0,1.0,1.0
Chhattisgarh,Mungeli,1.0,1.0,1.0
Chhattisgarh,Narayanpur,0.8553333333333332,1.0,1.2
Chhattisgarh,Raigarh,0.7504347826086956,0.78,0.95
Chhattisgarh,Raipur,1.8186363636363636,1.745,2.62
Chhattisgarh,Rajnandgaon,0.9613636363636363,1.0,1.21
Chhattisgarh,Sakti,1.17,1.17,1.17
Chhattisgarh,Sarangarh Bilaigarh,1.63,1.63,1.63
Chhattisgarh,Sukma,0.7466666666666667,0.755,1.0
Chhattisgarh,Surajpur,0.9516666666666668,0.94,1.27
Chhattisgarh,Surguja,0.9213043478260871,0.92,1.26
Haryana,Ambala,9.6325,10.045,19.5
Haryana,Bhiwani,10.0,10.0,10.0
Haryana,Fatehabad,9.331666666666667,9.690000000000001,12.5
Haryana,Hisar,10.25,10.25,10.5
Haryana,Jind,11.935714285714285,11.5,19.29
Haryana,Kaithal,9.25,10.75,12.0
Haryana,Karnal,12.186666666666667,14.67,15.4
Haryana,Kurukshetra,8.741428571428571,10.11,14.29
Haryana,Palwal,8.45,8.45,8.57
Haryana,Panchkula,13.853750000000002,15.379999999999999,18.4
Haryana,Panipat,11.26375,12.2,14.8
Haryana,Sirsa,0.5,0.5,0.5
Haryana,Sonipat,11.665714285714285,11.43,15.0
Haryana,Yamunanagar,9.499,11.16,12.77
Himachal Pradesh,Bilaspur,0.8205882352941176,0.72,1.63
Himachal Pradesh,Hamirpur,0.64,0.53,1.63
Himachal Pradesh,Kangra,0.6986666666666667,0.58,1.64
Himachal Pradesh,Kullu,0.4985714285714286,0.5,0.58
Himachal Pradesh,Mandi,0.6188888888888889,0.53,1.63
Himachal Pradesh,Shimla,0.8049999999999999,0.735,1.6
Himachal Pradesh,Sirmaur,0.6916666666666669,0.54,1.63
Himachal Pradesh,Solan,0.837,0.53,1.64
Himachal Pradesh,Una,0.5641176470588235,0.33,1.67
Jammu & Kashmir,Jammu,0.96625,0.9650000000000001,1.01
Jammu & Kashmir,Kathua,1.0030769230769232,1.0,1.03
Jammu & Kashmir,Poonch,1.1,1.1,1.1
Jammu & Kashmir,Rajouri,1.0,1.0,1.0
Jammu & Kashmir,Reasi,1.072,1.08,1.1
Jammu & Kashmir,Udhampur,1.0171428571428571,1.0150000000000001,1.08
Karnataka,Bagalkote,6.916363636363635,6.68,13.05
Karnataka,Ballari,5.484545454545454,5.18,7.75
Karnataka,Belagavi,4.846521739130435,4.49,8.0
Karnataka,Bengaluru Rural,5.4769999999999985,5.335,7.75
Karnataka,Bengaluru Urban,6.199999999999999,6.165,6.54
Karnataka,Bidar,4.596521739130435,4.69,7.78
